gene_id,77,58,501,49,68,50,65,75,56,59,76,62,64,102,57,74
A1BG,423,211,6657,152,2385,92,11240,451,2770,6378,5998,2431,251,15781,62,5968
A1BG-AS1,62,80,102,30,82,33,59,76,60,84,80,80,27,84,26,84
A1CF,376,83,5765,21,916,0,6711,104,1483,2273,3547,302,152,8246,17,3380
A2M,112156,22652,63552,19602,88844,65665,161326,52850,73179,33741,64796,15677,93614,118207,57804,148462
A2M-AS1,117,73,99,63,80,81,73,132,30,157,116,39,77,53,79,132
A2ML1,5,17,1,2,4,16,3,15,7,3,8,5,4,8,4,1
A2MP1,6,3,13,0,5,2,4,19,3,21,10,2,1,9,8,2
A3GALT2,4,5,5,0,0,0,2,5,1,5,1,1,3,4,3,0
A4GALT,287,21,159,29,34,94,147,67,45,104,140,20,36,183,54,309
A4GNT,5,2,9,2,2,1,2,2,1,12,0,2,0,3,1,3
AA06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,1072,280,1170,904,548,1211,809,901,757,306,820,428,624,885,410,1490
AACS,720,581,642,546,641,551,573,429,589,264,342,289,562,624,340,1066
AACSP1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AADAC,103,30,1611,18,476,0,2780,19,934,1110,1202,104,53,3454,2,1493
AADACL2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,92,146,365,39,58,70,224,104,49,150,105,45,56,316,42,199
AAED1,1246,335,1617,327,342,994,927,805,1151,337,906,163,672,1068,473,1260
AAGAB,1143,516,1274,893,609,952,924,871,905,420,715,231,822,945,550,1517
AAK1,4824,1550,4364,1133,1195,2768,3028,4553,1860,1741,5147,959,2741,2858,1654,4213
AAMDC,129,151,133,189,102,87,99,110,298,108,146,52,103,136,97,164
AAMP,2198,818,2346,3150,2028,2646,1680,2034,2508,876,1847,780,1812,2349,1174,2987
AANAT,2,3,8,0,3,6,8,7,2,15,11,6,3,2,7,7
AAR2,1349,687,1622,1492,995,2530,1188,1408,1088,538,1303,658,871,1188,602,1464
AARD,2,8,11,2,12,0,0,11,9,1,2,12,2,9,7,16
AARS,4834,1954,3630,3244,2736,2239,5773,2247,2234,2364,3970,1193,4468,3546,2390,9314
AARS2,980,817,863,2084,1056,857,760,878,1218,474,787,571,1028,958,626,1702
AARSD1,20,46,18,52,22,16,9,8,70,25,14,24,56,16,30,17
AASDH,583,508,535,633,277,591,415,537,629,310,527,305,513,499,454,591
AASDHPPT,1357,1025,1572,1877,956,1345,1297,1182,1656,507,1151,351,1057,1324,806,1712
AASS,987,1209,2392,1216,544,2100,1676,1055,1496,1349,1677,941,1077,1772,1039,977
AATF,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
AATF-2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
AATK,262,185,407,827,270,1717,230,708,244,203,473,820,294,332,240,232
AATK-AS1,0,4,1,0,1,1,0,2,2,0,0,4,0,0,0,2
ABAT,447,260,6047,120,1235,563,8359,484,2025,2116,2264,529,381,10778,94,3381
ABCA1,2176,1342,10560,2778,4504,6078,7125,9030,5195,4155,6124,1726,3133,10322,2832,6386
ABCA10,106,204,153,31,36,93,89,154,120,248,152,128,76,107,196,76
ABCA11P,127,156,159,192,66,224,52,126,137,54,105,55,121,113,112,200
ABCA12,13,30,19,9,15,3,12,3,7,7,13,12,4,9,11,19
ABCA13,5,3,72,2,3,1,12,36,111,71,26,13,7,92,5,4
ABCA17P,6,31,4,8,9,7,3,1,4,1,3,4,4,7,1,4
ABCA2,3885,1076,3257,711,973,1675,3044,2755,1480,1507,2327,932,1481,2181,841,4525
ABCA3,1075,898,269,202,1075,51,534,135,174,179,512,75,150,185,100,934
ABCA4,8,2,8,1,3,0,12,12,9,19,13,5,1,20,3,13
ABCA5,771,783,1485,587,312,1095,1140,1364,1146,1137,993,794,712,930,1020,747
ABCA6,263,257,2037,108,515,124,2590,200,769,1376,1253,288,149,2576,190,1202
ABCA7,399,311,466,349,307,190,653,762,583,561,697,982,270,519,366,752
ABCA8,6036,4901,1556,270,322,6177,1957,259,561,1698,9055,443,86,1331,2507,209
ABCA9,226,378,368,65,281,184,298,200,276,650,429,188,106,425,194,347
ABCB1,389,113,1238,139,444,18,1033,266,728,1067,1018,158,137,1820,47,1061
ABCB10,1455,930,1287,1387,816,800,1160,941,2162,446,1190,404,1161,1267,858,1278
