sample,fastq_1,fastq_2,strandedness
PCB5,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB57-PDX_S3_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB57-PDX_S3_L001_R2_001.fastq.gz,auto
PCB-50,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-50-PDX_S9_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-50-PDX_S9_L004_R2_001.fastq.gz,auto
PCB-36,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-36-PDX_S7_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-36-PDX_S7_L004_R2_001.fastq.gz,auto
PCB-39,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-39-PDX_S8_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-39-PDX_S8_L004_R2_001.fastq.gz,auto
PCB-31,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-31-PDX_S6_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-31-PDX_S6_L004_R2_001.fastq.gz,auto
PCB11,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB115-PDX_S8_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB115-PDX_S8_L001_R2_001.fastq.gz,auto
PCB60,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB60-PDX_S4_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB60-PDX_S4_L001_R2_001.fastq.gz,auto
PCB-54,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-54-PDX_S10_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-54-PDX_S10_L004_R2_001.fastq.gz,auto
PCB10,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB109-PDX_S7_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB109-PDX_S7_L001_R2_001.fastq.gz,auto
PCB64,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB64-PDX_S5_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB64-PDX_S5_L001_R2_001.fastq.gz,auto
PCB-28,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-28-PDX_S4_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-28-PDX_S4_L004_R2_001.fastq.gz,auto
PCB13,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB138-PDX_S9_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB138-PDX_S9_L001_R2_001.fastq.gz,auto
PCB-30,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-30-PDX_S5_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-30-PDX_S5_L004_R2_001.fastq.gz,auto
PCB-0,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-09-PDX_S1_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-09-PDX_S1_L004_R2_001.fastq.gz,auto
PCB-1,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-16-PDX_S2_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-16-PDX_S2_L004_R2_001.fastq.gz,auto
PCB3,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB37-PDX_S2_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB37-PDX_S2_L001_R2_001.fastq.gz,auto
PCB7,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB75-PDX_S6_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB75-PDX_S6_L001_R2_001.fastq.gz,auto
PCB-20,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-20-PDX_S3_L004_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB-20-PDX_S3_L004_R2_001.fastq.gz,auto
PCB2,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB20-2-PDX_S1_L001_R1_001.fastq.gz,/data/local/MD_scholarly/data/raw/rnaseq/fastqs/PCB20-2-PDX_S1_L001_R2_001.fastq.gz,auto
