sample,fastq_1,fastq_2,strandedness
p9,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-09-PDX_S1_L004_R1_001.1746161663505_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-09-PDX_S1_L004_R2_001.1746161663505_Cut_0.fastq.gz,auto
p16,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-16-PDX_S2_L004_R1_001.1746158301942_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-16-PDX_S2_L004_R2_001.1746158301942_Cut_0.fastq.gz,auto
p20,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-20-PDX_S3_L004_R1_001.1746162554859_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-20-PDX_S3_L004_R2_001.1746162554859_Cut_0.fastq.gz,auto
p28,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-28-PDX_S4_L004_R1_001.1746159495312_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-28-PDX_S4_L004_R2_001.1746159495312_Cut_0.fastq.gz,auto
p30,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-30-PDX_S5_L004_R1_001.1746159507938_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-30-PDX_S5_L004_R2_001.1746159507938_Cut_0.fastq.gz,auto
p31,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-31-PDX_S6_L004_R1_001.1746162836972_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-31-PDX_S6_L004_R2_001.1746162836972_Cut_0.fastq.gz,auto
p36,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-36-PDX_S7_L004_R1_001.1746158302038_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-36-PDX_S7_L004_R2_001.1746158302038_Cut_0.fastq.gz,auto
p39,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-39-PDX_S8_L004_R1_001.1746161596511_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-39-PDX_S8_L004_R2_001.1746161596511_Cut_0.fastq.gz,auto
p50,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-50-PDX_S9_L004_R1_001.1746160410394_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-50-PDX_S9_L004_R2_001.1746160410394_Cut_0.fastq.gz,auto
p54,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-54-PDX_S10_L004_R1_001.1746162743103_Cut_0.fastq.gz,/home/user_oruko/work/processed/rna_trim_umis/01_TRIM_UMIs/PCB-54-PDX_S10_L004_R2_001.1746162743103_Cut_0.fastq.gz,auto
