sample,fastq_1,fastq_2,strandedness
p9,/home/user_oruko/data/raw/rna/all_fastqs/PCB-09-PDX_S1_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-09-PDX_S1_L004_R2_001.fastq.gz,auto
p16,/home/user_oruko/data/raw/rna/all_fastqs/PCB-16-PDX_S2_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-16-PDX_S2_L004_R2_001.fastq.gz,auto
p20,/home/user_oruko/data/raw/rna/all_fastqs/PCB-20-PDX_S3_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-20-PDX_S3_L004_R2_001.fastq.gz,auto
p28,/home/user_oruko/data/raw/rna/all_fastqs/PCB-28-PDX_S4_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-28-PDX_S4_L004_R2_001.fastq.gz,auto
p30,/home/user_oruko/data/raw/rna/all_fastqs/PCB-30-PDX_S5_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-30-PDX_S5_L004_R2_001.fastq.gz,auto
p31,/home/user_oruko/data/raw/rna/all_fastqs/PCB-31-PDX_S6_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-31-PDX_S6_L004_R2_001.fastq.gz,auto
p36,/home/user_oruko/data/raw/rna/all_fastqs/PCB-36-PDX_S7_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-36-PDX_S7_L004_R2_001.fastq.gz,auto
p39,/home/user_oruko/data/raw/rna/all_fastqs/PCB-39-PDX_S8_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-39-PDX_S8_L004_R2_001.fastq.gz,auto
p50,/home/user_oruko/data/raw/rna/all_fastqs/PCB-50-PDX_S9_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-50-PDX_S9_L004_R2_001.fastq.gz,auto
p54,/home/user_oruko/data/raw/rna/all_fastqs/PCB-54-PDX_S10_L004_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB-54-PDX_S10_L004_R2_001.fastq.gz,auto
p109,/home/user_oruko/data/raw/rna/all_fastqs/PCB109-PDX_S7_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB109-PDX_S7_L001_R2_001.fastq.gz,auto
p115,/home/user_oruko/data/raw/rna/all_fastqs/PCB115-PDX_S8_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB115-PDX_S8_L001_R2_001.fastq.gz,auto
p138,/home/user_oruko/data/raw/rna/all_fastqs/PCB138-PDX_S9_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB138-PDX_S9_L001_R2_001.fastq.gz,auto
p20_2,/home/user_oruko/data/raw/rna/all_fastqs/PCB20-2-PDX_S1_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB20-2-PDX_S1_L001_R2_001.fastq.gz,auto
p37,/home/user_oruko/data/raw/rna/all_fastqs/PCB37-PDX_S2_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB37-PDX_S2_L001_R2_001.fastq.gz,auto
p57,/home/user_oruko/data/raw/rna/all_fastqs/PCB57-PDX_S3_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB57-PDX_S3_L001_R2_001.fastq.gz,auto
p60,/home/user_oruko/data/raw/rna/all_fastqs/PCB60-PDX_S4_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB60-PDX_S4_L001_R2_001.fastq.gz,auto
p64,/home/user_oruko/data/raw/rna/all_fastqs/PCB64-PDX_S5_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB64-PDX_S5_L001_R2_001.fastq.gz,auto
p75,/home/user_oruko/data/raw/rna/all_fastqs/PCB75-PDX_S6_L001_R1_001.fastq.gz,/home/user_oruko/data/raw/rna/all_fastqs/PCB75-PDX_S6_L001_R2_001.fastq.gz,auto
