sample,fastq_1,fastq_2,strandedness
PCB64,PCB64-PDX_S5_L001_R1_001.fastq.gz,PCB64-PDX_S5_L001_R2_001.fastq.gz,auto
PCB-39,PCB-39-PDX_S8_L004_R1_001.fastq.gz,PCB-39-PDX_S8_L004_R2_001.fastq.gz,auto
PCB11,PCB115-PDX_S8_L001_R1_001.fastq.gz,PCB115-PDX_S8_L001_R2_001.fastq.gz,auto
PCB-20,PCB-20-PDX_S3_L004_R1_001.fastq.gz,PCB-20-PDX_S3_L004_R2_001.fastq.gz,auto
PCB60,PCB60-PDX_S4_L001_R1_001.fastq.gz,PCB60-PDX_S4_L001_R2_001.fastq.gz,auto
PCB-36,PCB-36-PDX_S7_L004_R1_001.fastq.gz,PCB-36-PDX_S7_L004_R2_001.fastq.gz,auto
PCB-28,PCB-28-PDX_S4_L004_R1_001.fastq.gz,PCB-28-PDX_S4_L004_R2_001.fastq.gz,auto
PCB3,PCB37-PDX_S2_L001_R1_001.fastq.gz,PCB37-PDX_S2_L001_R2_001.fastq.gz,auto
PCB7,PCB75-PDX_S6_L001_R1_001.fastq.gz,PCB75-PDX_S6_L001_R2_001.fastq.gz,auto
PCB-31,PCB-31-PDX_S6_L004_R1_001.fastq.gz,PCB-31-PDX_S6_L004_R2_001.fastq.gz,auto
PCB2,PCB20-2-PDX_S1_L001_R1_001.fastq.gz,PCB20-2-PDX_S1_L001_R2_001.fastq.gz,auto
PCB-30,PCB-30-PDX_S5_L004_R1_001.fastq.gz,PCB-30-PDX_S5_L004_R2_001.fastq.gz,auto
